,airport__name,aircraft__make_model,effect__amount_of_damage,flight_date,aircraft__airline_operator,origin_state,when__phase_of_flight,wildlife__size,wildlife__species,when__time_of_day,cost__other,cost__repair,cost__total_$,speed_ias_in_knots
1604,LAGUARDIA NY,DC-9,None,10/21/92 0:00,AIR CANADA,New York,Climb,Medium,Unknown bird - medium,Day,0,0,0,
1605,BARKSDALE AIR FORCE BASE ARPT,KC-135,None,10/21/92 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,152.0
1606,GREATER PITTSBURGH,DC-9-30,Minor,10/22/92 0:00,US AIRWAYS*,Pennsylvania,Climb,Large,Unknown bird - large,Night,0,0,0,250.0
1607,LOUISVILLE INTL ARPT,B-757-200,None,10/22/92 0:00,UPS AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,190.0
1608,LAGUARDIA NY,B-727,None,10/22/92 0:00,AMERICAN AIRLINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,160.0
1609,GREATER PITTSBURGH,SAAB-340,Minor,10/22/92 0:00,CHAUTAUQUA AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,170.0
1610,CHARLOTTE/DOUGLAS INTL ARPT,B-737-200,None,10/22/92 0:00,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Night,0,0,0,150.0
1611,NEWARK LIBERTY INTL ARPT,DC-9,None,10/22/92 0:00,US AIRWAYS*,New Jersey,Approach,Small,Unknown bird - small,Night,0,0,0,170.0
1612,JOHN F KENNEDY INTL,B-747-400,Substantial,10/24/92 0:00,JAPAN AIRLINES,New York,Take-off run,Medium,Herring gull,Day,0,1237569,1237569,
1613,PHILADELPHIA INTL,B-757-200,None,10/24/92 0:00,DELTA AIR LINES,Pennsylvania,Climb,Small,Rock pigeon,Day,0,0,0,
1614,NEW ORLEANS INTL,B-737-300,None,10/24/92 0:00,UNITED AIRLINES,Louisiana,Take-off run,Small,Cattle egret,Day,0,0,0,
1615,GREATER PITTSBURGH,B-737,None,10/25/92 0:00,US AIRWAYS*,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,115.0
1616,JOHN F KENNEDY INTL,MD-80,None,10/26/92 0:00,TRANS WORLD AIRLINES,New York,Climb,Medium,Unknown bird - medium,Dusk,0,0,0,
1617,NEWARK LIBERTY INTL ARPT,DC-9-30,None,10/26/92 0:00,AIR CANADA,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,150.0
1618,INDIANAPOLIS INTL,FOKKER F100,None,10/26/92 0:00,AMERICAN AIRLINES,Indiana,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0
1619,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,10/26/92 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Night,0,0,0,150.0
1620,DALLAS/FORT WORTH INTL ARPT,MD-80,None,10/27/92 0:00,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0
1621,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,10/27/92 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,125.0
1622,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-727,None,10/27/92 0:00,DELTA AIR LINES,Kentucky,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
1623,JOHN F KENNEDY INTL,B-767,None,10/27/92 0:00,UNITED AIRLINES,New York,Landing Roll,Small,Barn owl,Night,0,0,0,
1624,MEMPHIS INTL,MD-80,None,10/28/92 0:00,AMERICAN AIRLINES,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,200.0
1625,NASHVILLE INTL,FOKKER F100,None,10/28/92 0:00,AMERICAN AIRLINES,Tennessee,Approach,Medium,Unknown bird - medium,Night,0,0,0,230.0
1626,GEORGE BUSH INTERCONTINENTAL,EMB-120,None,10/30/92 0:00,EXPRESSJET (CONTINENTAL EXPRS),Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,
1627,SACRAMENTO INTL,B-737-300,Minor,10/31/92 0:00,SOUTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,200.0
1628,HONOLULU INTL ARPT,DC-9-50,Minor,10/31/92 0:00,HAWAIIAN AIR,Hawaii,Approach,Small,Unknown bird - small,Dawn,0,0,0,175.0
1629,FORT LAUDERDALE/HOLLYWOOD INTL,C-402,None,10/31/92 0:00,BUSINESS,Florida,Approach,Small,Unknown bird - small,Day,0,0,0,
1630,PHILADELPHIA INTL,MD-80,None,10/31/92 0:00,US AIRWAYS*,Pennsylvania,Climb,Small,Unknown bird - small,Day,0,0,0,170.0
1631,MINETA SAN JOSE INTL,B-757-200,None,10/31/92 0:00,AMERICAN AIRLINES,California,Take-off run,Small,Unknown bird - small,Day,0,0,0,80.0
1632,NEWARK LIBERTY INTL ARPT,B-757-200,None,11/1/92 0:00,AMERICAN AIRLINES,New Jersey,Descent,Medium,Unknown bird - medium,Night,0,0,0,250.0
1633,BALTIMORE WASH INTL,DC-9-30,None,11/3/92 0:00,US AIRWAYS*,Maryland,Approach,Medium,Unknown bird - medium,Night,0,0,0,145.0
1634,BALTIMORE WASH INTL,B-737-300,None,11/3/92 0:00,US AIRWAYS*,Maryland,Approach,Medium,Unknown bird - medium,Night,0,0,0,170.0
1635,BALTIMORE WASH INTL,FOKKER F28 MK 1000,None,11/3/92 0:00,US AIRWAYS*,Maryland,Approach,Medium,Unknown bird - medium,Night,0,0,0,250.0
1636,LAGUARDIA NY,B-727-100,None,11/4/92 0:00,AMERICAN AIRLINES,New York,Climb,Medium,Unknown bird - medium,Night,0,0,0,150.0
1637,CHICAGO O'HARE INTL ARPT,FOKKER F100,None,11/4/92 0:00,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Night,0,0,0,160.0
1638,SACRAMENTO INTL,MD-82,Minor,11/5/92 0:00,AMERICAN AIRLINES,California,Descent,Medium,Unknown bird - medium,Night,0,0,0,180.0
1639,WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,Minor,11/6/92 0:00,ATLANTIC COAST AIRLINES,DC,Approach,Large,Canada goose,Day,0,0,0,170.0
1640,ORLANDO INTL,B-737-200,None,11/6/92 0:00,US AIRWAYS*,Florida,Take-off run,Small,Cattle egret,Day,0,0,0,180.0
1641,PHILADELPHIA INTL,DC-9-30,None,11/7/92 0:00,US AIRWAYS*,Pennsylvania,Descent,Medium,Unknown bird - medium,Night,0,0,0,
1642,DALLAS/FORT WORTH INTL ARPT,MD-88,None,11/9/92 0:00,DELTA AIR LINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140.0
